county_fips,production_survey
27041,
27043,
27045,
27047,
27049,
27051,
27053,
27055,
27057,
27059,17500.0
27061,
27063,
27065,
27067,
27069,231642.85714285713
27071,
27073,69000.0
27075,
27077,40200.0
27079,48550.0
27081,
27083,
27085,35050.0
27087,32500.0
27089,72400.0
27091,
27093,
27095,
27097,
27099,
27101,
27103,
27105,
27107,70233.33333333333
27109,
27111,43000.0
27113,104137.5
27115,
27117,23000.0
27119,245825.0
27121,61000.0
27123,
27125,74900.0
27127,
27129,
27131,
27133,
27135,170744.44444444444
27137,
27139,
27141,
27143,43650.0
27145,37550.0
27147,
27149,
27151,
27153,22200.0
27155,
27157,
27159,
27161,
27163,
27165,
27167,
27169,
27171,
27173,64850.0
28001,
28003,88000.0
28005,
28007,
28009,139500.0
28011,1497368.4210526317
28013,185200.0
28015,259050.0
28017,92120.0
28019,
28021,64100.0
28023,
28025,
28027,1083789.4736842106
28029,
28031,62500.0
28033,389888.8888888889
28035,
28037,
28039,
28041,
28043,
28045,
28047,
28049,129250.0
28051,266000.0
28053,329936.84210526315
28055,209361.53846153847
28057,73616.66666666667
28059,
28061,
28063,
28065,
28067,
28069,
28071,
28073,13400.0
28075,
28077,
28079,
28081,157928.57142857142
28083,427705.8823529412
28085,
28087,94433.33333333333
28089,111314.28571428571
28091,
28093,175864.2857142857
28095,203058.33333333334
28097,
28099,
28101,
28103,94154.54545454546
28105,
28107,549000.0
28109,
28111,
28113,
28115,47000.0
28117,71480.0
28119,562928.5714285715
28121,78500.0
28123,
28125,301384.6153846154
28127,
28129,
28131,
28133,1131529.4117647058
28135,660875.0
28137,170055.55555555556
28139,24400.0
28141,
28143,751600.0
28145,12000.0
28147,
28149,142957.14285714287
28151,907947.3684210526
28153,
28155,95500.0
28157,
28159,
28161,123500.0
28163,449294.1176470588
29001,121411.76470588235
29003,82292.85714285714
29005,35100.0
29007,1159733.3333333333
29009,83086.66666666667
29011,2164189.4736842103
29013,1316015.3846153845
29015,259861.11111111112
29017,204700.0
29019,393209.5238095238
29021,106537.5
29023,776000.0
29025,199383.33333333334
29027,432811.76470588235
29029,
29031,783536.8421052631
29033,404410.0
29035,
29037,400938.8888888889
29039,67770.58823529411
29041,633275.0
29043,25300.0
29045,247200.0
29047,68038.88888888889
29049,93160.0
29051,70900.0
29053,857066.6666666666
29055,5600.0
29057,988366.6666666666
29059,24460.0
29061,145305.88235294117
29063,137875.0
29065,
29067,
29069,1394090.0
29071,178152.9411764706
29073,70833.33333333333
29075,123006.25
29077,43935.294117647056
29079,173787.5
29081,92364.28571428571
29083,624635.2941176471
29085,34033.333333333336
29087,62853.846153846156
29089,302540.0
29091,12520.0
29093,
29095,265447.0588235294
29097,1383850.0
29099,38823.529411764706
29101,408375.0
29103,243557.8947368421
29105,18971.428571428572
29107,347494.1176470588
29109,283971.4285714286
29111,305047.36842105264
29113,578031.5789473684
29115,267387.5
29117,421500.0
29119,2500.0
29121,410807.14285714284
29123,
29125,19769.23076923077
29127,407785.0
29129,33420.0
29131,28553.846153846152
29133,3050142.8571428573
29135,229950.0
29137,475433.3333333333
29139,677472.2222222222
29141,101633.33333333333
29143,1638058.8235294118
29145,209876.19047619047
29147,108446.66666666667
29149,
29151,53237.5
29153,
29155,1571571.4285714286
29157,626411.1111111111
29159,856326.3157894737
29161,12000.0
29163,609705.2631578947
29165,118728.57142857143
29167,54300.0
29169,
29171,36928.57142857143
29173,485878.94736842107
29175,349541.17647058825
29177,247837.5
29179,
29181,41154.545454545456
29183,306938.09523809527
29185,481237.5
29186,214672.22222222222
29187,30014.285714285714
29189,72243.75
29195,403728.5714285714
29197,41600.0
29199,143211.11111111112
29201,2105176.470588235
29203,
29205,608608.3333333334
29207,2236350.0
29209,
29211,49540.0
29213,15000.0
29215,
29217,1084300.0
29219,173936.84210526315
29221,
29223,28287.5
29225,17684.615384615383
29227,28550.0
29229,5100.0
29510,
30001,87666.66666666667
30003,3521900.0
30005,1999336.8421052631
30007,407052.63157894736
30009,140142.85714285713
30011,526650.0
30013,4698880.952380952
30015,16995919.04761905
30017,339250.0
30019,477100.0
30021,542384.6153846154
30023,
30025,378266.6666666667
30027,5044047.619047619
30029,302100.0
30031,966166.6666666666
30033,1127794.4444444445
30035,1602842.105263158
30037,724400.0
30039,
30041,9225571.42857143
30043,89333.33333333333
30045,1958357.142857143
30047,159311.11111111112
30049,195272.72727272726
30051,4317333.333333333
30053,
30055,666055.5555555555
30057,80500.0
30059,167100.0
30061,37000.0
30063,44450.0
30065,418972.22222222225
30067,139675.0
30069,408411.76470588235
30071,1076884.2105263157
30073,3867238.095238095
30075,277571.4285714286
30077,
30079,353536.84210526315
30081,24028.571428571428
30083,341841.17647058825
30085,568000.0
30087,692700.0
30089,25000.0
30091,143800.0
30093,
30095,702904.7619047619
30097,49333.333333333336
30099,4456904.761904762
30101,2104525.0
30103,127090.90909090909
30105,414050.0
30107,554635.0
30109,126454.54545454546
30111,2103875.0
31001,376194.1176470588
31003,97883.33333333333
31005,19200.0
31007,1513440.0
31009,28000.0
31011,64850.0
31013,4801655.0
31015,155606.66666666666
31017,34350.0
31019,271426.3157894737
31021,16800.0
31023,74350.0
31025,89257.14285714286
31027,68342.85714285714
31029,2240575.0
31031,121330.0
31033,6556431.578947368
31035,229520.0
31037,44230.769230769234
31039,49000.0
31041,411735.0
31043,
31045,1181430.0
31047,241200.0
31049,3043535.0
31051,
31053,47800.0
31055,25485.714285714286
31057,1733704.761904762
31059,181950.0
31061,656680.0
31063,2119021.052631579
31065,2793595.238095238
31067,967342.8571428572
31069,1766777.7777777778
31071,
31073,701760.0
31075,
31077,69133.33333333333
31079,107900.0
31081,138378.94736842104
31083,1365260.0
31085,1442752.6315789474
31087,2870752.380952381
31089,380423.07692307694
31091,
31093,99007.14285714286
31095,723090.4761904762
31097,181357.14285714287
31099,402075.0
31101,1893976.1904761905
31103,36340.0
31105,2686405.0
31107,108845.45454545454
31109,338815.7894736842
31111,1046315.7894736842
31113,94183.33333333333
31115,
31117,17500.0
31119,69900.0
31121,124069.23076923077
31123,1117338.0952380951
31125,138157.14285714287
31127,146210.0
31129,1466510.0
31131,200155.55555555556
31133,337175.0
31135,4417947.619047619
31137,222216.66666666666
31139,68842.85714285714
31141,64885.71428571428
31143,68750.0
31145,3014736.8421052634
31147,180966.66666666666
31149,106350.0
31151,441595.2380952381
31153,36866.666666666664
31155,133077.77777777778
31157,492980.0
31159,114529.41176470589
31161,1736419.0476190476
31163,94640.0
31165,136400.0
31167,55700.0
31169,1029752.6315789474
31171,
31173,48860.0
31175,80061.53846153847
31177,29671.428571428572
31179,24400.0
31181,1202625.0
31183,139800.0
31185,89637.5
32001,60000.0
32003,
32005,
32007,
32009,
32011,
32013,319000.0
32015,
32017,
32019,18000.0
32021,
32023,
32027,271166.6666666667
32029,
32031,
32033,
32510,
33001,
33003,
33005,
33007,
33009,
33011,
33013,
33015,
33017,
33019,
34001,
34003,
34005,174217.64705882352
34007,
34009,
34011,291175.0
34013,
34015,184076.92307692306
34017,
34019,132250.0
34021,46025.0
34023,52900.0
34025,54500.0
34027,
34029,
34031,
34033,411281.25
34035,68447.05882352941
34037,
34039,
34041,63455.555555555555
35001,
35003,
35005,70475.0
35006,
35007,18200.0
35009,2346300.0
35011,8960.0
35013,112260.0
35015,
35017,
35019,13046.666666666666
35021,
35023,115000.0
35025,118725.0
35027,
35028,
35029,161395.83333333334
35031,
35033,
35035,
35037,873035.0
35039,3900.0
35041,1030761.5384615385
35043,2120.0
35045,876533.3333333334
35047,
35049,18075.0
35051,
35053,
35055,
35057,15896.0
35059,761054.5454545454
35061,
36001,
36003,42942.857142857145
36005,
36007,
36009,27555.555555555555
36011,422827.77777777775
36013,29933.333333333332
36015,
36017,
36019,
36021,25983.333333333332
36023,17366.666666666668
36025,
36027,
36029,82536.36363636363
36031,20433.333333333332
36033,
36035,
